id,name,brand,category,variant,review_scope,queries,sources,result,unapproved_candidates
whistling-buster-6-pack,Whistling Buster,T-Sky,Artillery Shells,6 shells · 1 tube,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,"Histórica: ""841527101258"" fireworks | 2026-09-25: T-Sky Whistling Buster 6 shells demo",https://usa-fireworks.com/products/artillery-shells/whistling-buster-6-shots/,"Los candidatos corresponden a Miracle y Winda P-W520, no a T-Sky.",https://www.youtube.com/watch?v=a1k4jMwmLFU | https://www.youtube.com/watch?v=rmD93J2Fyh8
black-cat-50-pack,Black Cat Firecrackers 50 Pack,Black Cat,Firecrackers,50-count pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""715244101504"" fireworks",https://usa-fireworks.com/products/firecrackers/black-cat-firecrackers-pack-of-50/ | https://beta2024.usa-fireworks.com/products/firecrackers/product-177-variation-1/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-200-pack,Black Cat Firecrackers 200 Pack,Black Cat,Firecrackers,200-count pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""715244102006"" fireworks",https://usa-fireworks.com/products/firecrackers/black-cat-firecrackers-pack-of-200/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
cutting-edge-1000-roll,Cutting Edge 1000 Roll,Cutting Edge,Firecrackers,1000-count roll,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""8145270101216"" fireworks",https://usa-fireworks.com/products/firecrackers/cutting-edge-firecrackers-1000-roll/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
junior-pyro-pack-sky-bacon,Junior Pyro Pack,Sky Bacon,Assortments,Blue backpack · Safe & Sane assortment,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""193936959969"" fireworks",https://76fireworkstore.com/AT265B-Junior-Pyro-Pack-SS-R-PC | https://www.lastchancefireworks.com/shop/Assortment-Value-Packs/p/Junior-Pyro-Pack-Sky-Bacon.htm | https://usa-fireworks.com/products/assortments/junior-pyro-pack/ | https://shop.pyrocrate.com/AT265B-Junior-Pyro-Pack-SS-R-PC/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
killer-bees-4-pack,Killer Bees,Sky Bacon,Fountains,4-pack,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,"Histórica: ""816597940465"" fireworks | 2026-09-25: Sky Bacon Killer Bees 4 pack fountain demo",https://whitelightningfireworks.com/FN275-Killer-Bees-244-R-PK/ | https://76fireworkstore.com/FN275-Killer-Bees-244-R-PK,Candidato Dos Gringos: falta comprobar presentación de cuatro unidades. Otro resultado Sky Painter no confirma marca.,https://www.youtube.com/watch?v=pA3xMAwC5Ko | https://www.youtube.com/watch?v=bVshsMyhNCs
m-5000-world-class-12-pack,M-5000 Salute Crackers,World-Class,Firecrackers,12-pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""8052530020319"" fireworks",https://usa-fireworks.com/products/firecrackers-salutes/m-60-salute-crackers-12-pack/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
m-5000-cutting-edge-12-pack,M-5000 Salute Crackers,Cutting Edge,Firecrackers,12-pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""8145270103616"" fireworks",https://usa-fireworks.com/products/firecrackers-salutes/m-5000-salute-crackers-12-pack/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
major-mojo,Major Mojo,World-Class,Assortments,Retail item; exact variant must be matched,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""805253396814"" fireworks",https://beta2024.usa-fireworks.com/products/assortments/major-mojo/ | https://www.jakesfireworks.com/fw_type/full-line-family-packs/ | https://www.gogofireworks.com/major-mojo,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
morning-glory-144-cutting-edge,14-inch Morning Glory,Cutting Edge,Sparklers,14-inch sparklers · 144-count box,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""8145270180211"" fireworks",https://usa-fireworks.com/products/sparklers/morning-glory-sparklers-box/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
poopy-puppy,Poopy Puppy,Unconfirmed,Novelties,Retail item; exact variant must be matched,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""8052530222713"" fireworks",https://usa-fireworks.com/products/novelty/poopy-puppy/ | https://bigdaddyksfireworksoutlet.com/product/pooping-dog/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
pyro-princess-pack,Pyro Princess Pack,Sky Bacon,Assortments,Pink backpack · Safe & Sane assortment,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""193936959976"" fireworks",https://usa-fireworks.com/products/assortments/pyro-princess-pack/ | https://staging.usa-fireworks.com/products/new-products/pyro-princess-pack/ | https://lowcountryfireworks.com/AT265H-Pyro-Princess-Pack-SS-R-PC/ | https://leefamilyfirework.com/AT265H-Pyro-Princess-Pack-SS-R-PC/ | https://backyardheroesfireworks.com/product/pyro-princess-pack/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
american-saturn-missile-300,American Saturn Missile Battery,World-Class,Missiles,300 shots,Búsqueda adicional 2026-09-25 y contraste con catálogo.,"Histórica: ""8052531311515"" fireworks | 2026-09-25: World Class American Saturn 300 fireworks",https://thefireworkssuperstore.com/shop/300-shots,Resultados de cantidades o tipos distintos; ninguno confirma World-Class 300 misiles.,https://www.youtube.com/watch?v=oYlyEvikKAI | https://www.youtube.com/watch?v=aiF8FwZ5qJk
stars-and-stripes-assortment,Stars and Stripes,World-Class,Assortments,Retail item; exact variant must be matched,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""8052530040416"" fireworks",https://thefireworkssuperstore.com/shop/stars-and-stripes-assortment | https://bigdaddyksfireworksoutlet.com/product/stars-stripes/ | https://www.jakesfireworks.com/fw_type/full-line-family-packs/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
the-king-assortment,The King,World-Class,Assortments,Retail item; exact variant must be matched,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""8052530040119"" fireworks",https://thefireworkssuperstore.com/shop/the-king | https://ocfireworks.com/4-fiberglass-mortar-tube-single-tube/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
torpedo-snappers,Torpedo Snappers,Black Cat,Novelties,20-count box,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""652009003454"" fireworks",https://usa-fireworks.com/products/novelty/torpedo-snappers/ | https://staging.usa-fireworks.com/products/novelty/torpedo-snapper/ | https://www.wincofireworks.com/product/torpedo-snapper/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
unicorn-chaser-2-pack,Unicorn Chaser,Sky Bacon,Novelties,2-pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""680149048431"" fireworks",https://whitelightningfireworks.com/NV154-Unicorn-Chaser-R-PK/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
what-boys-are-made-of,What Boys Are Made Of,World-Class,Assortments,Backpack assortment,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""8052530044216"" fireworks",https://beta2024.usa-fireworks.com/products/assortments/what-boys-are-made-of/ | https://thefireworkssuperstore.com/shop/what-boys-are-made-of-backpack,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
frog-princess,Frog Princess,World-Class,Fountains,Pink frog fountain,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,"Histórica: ""8052531144915"" fireworks | 2026-09-25: World Class Frog Princess pink fountain demo",https://usa-fireworks.com/products/fountains/fountains-200-gram/frog-princess/ | https://wholesalefireworks.com/firework/frog-princess/,Video conjunto Prince/Princess; falta confirmar la variante rosa. Otros resultados son Suns.,https://www.youtube.com/watch?v=2-LZciD8Qws | https://www.youtube.com/watch?v=4PFvwWn2h50
black-cat-night-display,Night Display,Black Cat,Assortments,Retail item; exact variant must be matched,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,Histórica: Night Display Black Cat  fireworks demo; evidencia: Exact YouTube demonstration not approved. Similar products and UK variants are not reused.,https://www.wincofireworks.com/product/black-cat-night-display/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-party-pack-4,Party Pack 4,Black Cat,Assortments,Retail item; exact variant must be matched,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,Histórica: Party Pack 4 Black Cat  fireworks demo; evidencia: Exact YouTube demonstration not approved. Similar products and UK variants are not reused.,https://www.wincofireworks.com/product/party-pack-4/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-combo-cakes,Black Cat Combo Cakes,Black Cat,Cake Packs,4 cakes · 15 shots per cake,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,2026-09-25: Black Cat combo cakes 4 pack 15 shots demo,https://www.wincofireworks.com/product/combo-cakes/ | https://www.elitefireworks.com/products/black-cat-combo-cakes,"Coincidencia candidata: cuatro nombres coinciden, pero falta confirmar demostración del surtido completo y edición del paquete. No aprobado.",https://www.youtube.com/watch?v=4z12R3E8oXE | https://www.youtube.com/watch?v=FkbDMNjqTWA
dragon-fire-black-cat,Dragon Fire,Black Cat,Fountains,Dragon-shaped novelty fountain,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,2026-09-25: Black Cat Dragon Fire novelty fountain demo,https://www.wincofireworks.com/product/dragon-fire/ | https://vimeo.com/520041765,Resultado Black Cat UK y otro de Fox: no confirman variante estadounidense del catálogo.,https://www.youtube.com/watch?v=1lRRn1z6WPw | https://www.youtube.com/watch?v=FleVytZtVwA
black-cat-assorted-snakes,Assorted Snakes,Black Cat,Novelties,"6 boxes · Black snakes, colored snakes and glow worms",Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,Histórica: Assorted Snakes Black Cat  fireworks demo; evidencia: Exact YouTube demonstration not approved. Similar products and UK variants are not reused.,https://www.wincofireworks.com/product/assorted-snakes/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-1000-roll,Black Cat 1000 Roll,Black Cat,Firecrackers,1000-count roll,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,Histórica: Black Cat 1000 Roll Black Cat  fireworks demo; evidencia: Exact YouTube demonstration not approved. Similar products and UK variants are not reused.,https://dosgringosfireworks.com/black-cat-firecrackers-1000-roll/ | https://www.wincofireworks.com/product/black-cat-1000-roll/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
ring-of-honor-6-pack,Ring of Honor,Raccoon,Artillery Shells,5-inch shells · 6-pack,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,"Histórica: ""757201306058"" fireworks | 2026-09-25: Raccoon Ring Rings of Honor RA30605 6 5 inch shells demo",https://raccoonfireworksusa.com/product/5-ring-of-honor/ | https://www.elitefireworks.com/products/ring-of-honor,AWF describe 9 unidades; el otro video muestra seis cartuchos en envase holográfico horizontal distinto del naranja vertical aprobado. Falta confirmar código y edición.,https://www.youtube.com/watch?v=nZxj0icNA5U | https://www.youtube.com/watch?v=pFSFyAQzRxI
